,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
113,2022-02-01,966.8615876604405,843.2196040560215,1092.4661167839497,966.8615876604405,966.8615876604405,2.110017700600649,2.110017700600649,2.110017700600649,2.110017700600649,2.110017700600649,2.110017700600649,0.0,0.0,0.0,968.9716053610412
114,2022-02-02,965.4283411357833,838.0825218816614,1100.9597865425276,965.4283411357833,965.4283411357833,6.373394216090637,6.373394216090637,6.373394216090637,6.373394216090637,6.373394216090637,6.373394216090637,0.0,0.0,0.0,971.801735351874
115,2022-02-03,963.9950946111259,829.6639511047373,1090.8078264860533,963.9950946111259,963.9950946111259,-0.1558266301667448,-0.1558266301667448,-0.1558266301667448,-0.1558266301667448,-0.1558266301667448,-0.1558266301667448,0.0,0.0,0.0,963.8392679809591
116,2022-02-04,962.5618480864687,832.3496441763237,1093.6741061213525,962.5618480864687,962.5618480864687,-4.2870813302513175,-4.2870813302513175,-4.2870813302513175,-4.2870813302513175,-4.2870813302513175,-4.2870813302513175,0.0,0.0,0.0,958.2747667562173
117,2022-02-07,958.2621085124965,844.0553941770401,1101.3077239734348,958.2621085124965,958.2621085124965,12.615035359647841,12.615035359647841,12.615035359647841,12.615035359647841,12.615035359647841,12.615035359647841,0.0,0.0,0.0,970.8771438721444
118,2022-02-08,956.8288619878393,837.511302533537,1086.6507855948994,956.8288619878393,956.8288619878393,2.1100177005991756,2.1100177005991756,2.1100177005991756,2.1100177005991756,2.1100177005991756,2.1100177005991756,0.0,0.0,0.0,958.9388796884385
119,2022-02-09,955.3956154631819,840.6011124366637,1092.4630096488895,955.3956154631819,955.3956154631819,6.3733942160579105,6.3733942160579105,6.3733942160579105,6.3733942160579105,6.3733942160579105,6.3733942160579105,0.0,0.0,0.0,961.7690096792398
120,2022-02-10,953.9623689385246,818.4110408192752,1084.8709125906225,953.9623689385246,953.9623689385246,-0.1558266301882553,-0.1558266301882553,-0.1558266301882553,-0.1558266301882553,-0.1558266301882553,-0.1558266301882553,0.0,0.0,0.0,953.8065423083364
121,2022-02-11,952.5291224054915,820.7385226854094,1075.360539735682,952.5291224054915,952.5291224054915,-4.28708133030449,-4.28708133030449,-4.28708133030449,-4.28708133030449,-4.28708133030449,-4.28708133030449,0.0,0.0,0.0,948.242041075187
122,2022-02-14,948.2293828063923,838.4858541688162,1085.6566580862361,948.2293828063923,948.2293828063923,12.61503535965403,12.61503535965403,12.61503535965403,12.61503535965403,12.61503535965403,12.61503535965403,0.0,0.0,0.0,960.8444181660464
123,2022-02-15,946.7961362733591,829.7100474754752,1076.009328454643,946.7961362733591,946.7961362733591,2.1100177006192586,2.1100177006192586,2.1100177006192586,2.1100177006192586,2.1100177006192586,2.1100177006192586,0.0,0.0,0.0,948.9061539739783
124,2022-02-16,945.3628897403261,826.1288795593583,1075.0176174584067,945.3628897403261,945.3628897403261,6.373394216076041,6.373394216076041,6.373394216076041,6.373394216076041,6.373394216076041,6.373394216076041,0.0,0.0,0.0,951.7362839564021
125,2022-02-17,943.9296432072929,821.886955798584,1070.1436620189857,943.9296432072929,943.9296432072929,-0.15582663018150741,-0.15582663018150741,-0.15582663018150741,-0.15582663018150741,-0.15582663018150741,-0.15582663018150741,0.0,0.0,0.0,943.7738165771113
126,2022-02-18,942.4963966742599,807.1965932696925,1056.4492775562187,942.4963966742599,942.4963966742599,-4.287081330282034,-4.287081330282034,-4.287081330282034,-4.287081330282034,-4.287081330282034,-4.287081330282034,0.0,0.0,0.0,938.2093153439779
